Accession	Virus Pangolin Classification	Geographic Location	Isolate Collection date	Host Name	Length	Completeness	Release date
OU895964.1	AY.4	United Kingdom:England	2021-10-07	Homo sapiens	29890	COMPLETE	2021-10-28T00:00:00Z
ON896279.1	BA.2.12.1	USA: California	2022-06-16	Homo sapiens	29687	COMPLETE	2022-07-01T00:00:00Z
ON912232.1	BA.2.12.1	USA	2022-06-15	Homo sapiens	29729	COMPLETE	2022-07-05T00:00:00Z
ON925618.1	BA.2	USA: California	2022-05-14	Homo sapiens	29724	COMPLETE	2022-07-05T00:00:00Z
ON941872.1	BA.5.1	USA: Florida	2022-06-23	Homo sapiens	29715	COMPLETE	2022-07-07T00:00:00Z
ON957665.1	BA.5.2.1	USA: Texas	2022-06-24	Homo sapiens	29844	COMPLETE	2022-07-11T00:00:00Z
ON975089.1	BA.2.12.1	USA: Arkansas	2022-06-14	Homo sapiens	29765	COMPLETE	2022-07-13T00:00:00Z
ON990368.1	BA.5.2.1	USA: New Jersey	2022-07-01	Homo sapiens	29838	COMPLETE	2022-07-15T00:00:00Z
OP008083.1	BF.28	USA: Colorado	2022-06-25	Homo sapiens	29718	COMPLETE	2022-07-18T00:00:00Z
OP016823.1	BA.2.12.1	USA: Florida	2022-07-06	Homo sapiens	29727	COMPLETE	2022-07-19T00:00:00Z
OP027747.1	BA.5.2.1	USA: North Carolina	2022-07-11	Homo sapiens	29715	COMPLETE	2022-07-21T00:00:00Z
OP053654.1	BA.5	South Africa: Western Cape	2022-06-15	Homo sapiens	29708	COMPLETE	2022-07-25T00:00:00Z
OP064731.1	BA.5.6	USA: California	2022-07-12	Homo sapiens	29717	COMPLETE	2022-07-26T00:00:00Z
OP083566.1	BA.5.2	USA: Illinois	2022-07-08	Homo sapiens	29718	COMPLETE	2022-07-27T00:00:00Z
OX143611.1	BA.5.1	United Kingdom:Scotland	2022-06-06	Homo sapiens	29852	COMPLETE	2022-07-05T00:00:00Z
OX258768.1	BE.1	United Kingdom:Scotland	2022-07-04	Homo sapiens	29850	COMPLETE	2022-07-31T00:00:00Z
OY618772.2	B.1.1.7	United Kingdom:England	2021-01-01	Homo sapiens	29885	COMPLETE	2023-08-09T00:00:00Z
OY623308.1	XBB.1.5	United Kingdom:Scotland	2023-04-21	Homo sapiens	29855	COMPLETE	2023-08-09T00:00:00Z
OY629221.1	BA.1.17.2	United Kingdom:England	2021-12-28	Homo sapiens	29773	COMPLETE	2023-08-09T00:00:00Z
OY633906.1	BA.1.15.1	United Kingdom:England	2021-12-18	Homo sapiens	29788	COMPLETE	2023-08-09T00:00:00Z
OY638456.1	BA.1.17.2	United Kingdom:England	2022-02-08	Homo sapiens	29778	COMPLETE	2023-08-09T00:00:00Z
OY643591.1	BA.2	United Kingdom:England	2022-02-18	Homo sapiens	29746	COMPLETE	2023-08-02T00:00:00Z
OY648288.1	BA.1.17.2	United Kingdom:England	2022-01-15	Homo sapiens	29778	COMPLETE	2023-08-02T00:00:00Z
OY653226.1	BA.1.1	United Kingdom:England	2021-12-23	Homo sapiens	29769	COMPLETE	2023-08-02T00:00:00Z
OY657349.1	BA.1	United Kingdom:England	2022-01-15	Homo sapiens	29778	COMPLETE	2023-08-02T00:00:00Z
OY665630.1	BA.1.15	United Kingdom:England	2022-01-04	Homo sapiens	29778	COMPLETE	2023-08-02T00:00:00Z
OY674742.1	BA.1.1	United Kingdom:England	2022-01-16	Homo sapiens	29773	COMPLETE	2023-08-03T00:00:00Z
OY678300.1	BA.1.1	United Kingdom:England	2022-02-07	Homo sapiens	29778	COMPLETE	2023-08-03T00:00:00Z
OY684891.1	BA.1	United Kingdom:England	2021-12-24	Homo sapiens	29769	COMPLETE	2023-08-03T00:00:00Z
OY688244.1	BA.1	United Kingdom:England	2022-02-01	Homo sapiens	29769	COMPLETE	2023-08-03T00:00:00Z
OY691508.1	BA.1.1	United Kingdom:England	2022-02-12	Homo sapiens	29769	COMPLETE	2023-08-03T00:00:00Z
OY695909.1	BA.1.18	United Kingdom:England	2022-01-02	Homo sapiens	29778	COMPLETE	2023-08-03T00:00:00Z
OY700988.1	BA.1.17.2	United Kingdom:England	2022-01-09	Homo sapiens	29796	COMPLETE	2023-08-04T00:00:00Z
OY705478.1	BA.2	United Kingdom:England	2022-02-20	Homo sapiens	29746	COMPLETE	2023-08-04T00:00:00Z
OY708935.1	BA.1.15	United Kingdom:England	2021-12-22	Homo sapiens	29778	COMPLETE	2023-08-04T00:00:00Z
OY713485.1	BA.1.1	United Kingdom:England	2022-02-23	Homo sapiens	29755	COMPLETE	2023-08-04T00:00:00Z
OY717396.1	B.1.1.311	United Kingdom:England	2020-10-02	Homo sapiens	29903	COMPLETE	2023-08-06T00:00:00Z
OY721949.1	XBB.1.16.1	United Kingdom:Scotland	2023-07-04	Homo sapiens	29847	COMPLETE	2023-08-11T00:00:00Z
PZ861936.1	XFY.1	USA: South Dakota	2026-02-27	Homo sapiens	29756	COMPLETE	2026-08-20T00:00:00Z
OP570509.1	BA.5.2.28	USA: Minnesota	2022-09-17	Homo sapiens	29842	COMPLETE	2022-10-03T00:00:00Z
OP583429.1	BA.5.2.21	USA: District of Columbia	2022-09-22	Homo sapiens	29625	COMPLETE	2022-10-04T00:00:00Z
OP619155.1	BA.5.2	USA: California	2022-09-20	Homo sapiens	29718	COMPLETE	2022-10-12T00:00:00Z
OP648977.1	BA.4.6	USA: California	2022-10-01	Homo sapiens	29709	COMPLETE	2022-10-17T00:00:00Z
OP660539.1	BA.5.1.23	USA: California	2022-10-02	Homo sapiens	29586	COMPLETE	2022-10-18T00:00:00Z
OP699309.1	BA.1.15	USA: Washington,Kitsap County	2022-01-28	Homo sapiens	29798	COMPLETE	2022-10-21T00:00:00Z
OP721800.1	BA.5.2.1	USA: Connecticut	2022-10-10	Homo sapiens	29718	COMPLETE	2022-10-26T00:00:00Z
OP736799.1	BA.5.1.6	USA: Indiana	2022-10-13	Homo sapiens	29718	COMPLETE	2022-10-28T00:00:00Z
PV608342.1	MC.1	USA: Illinois, Chicago	2024-12-21	Homo sapiens	29773	COMPLETE	2025-05-07T00:00:00Z
OM090070.1	AY.44	USA: California, Los Angeles County	2021-12-16	Homo sapiens	29698	COMPLETE	2022-01-02T00:00:00Z
OM098521.1	AY.44	USA: Illinois	2021-12-17	Homo sapiens	29810	COMPLETE	2022-01-03T00:00:00Z
OM119059.1	BA.1.20	USA: Wisconsin	2021-12-23	Homo sapiens	29774	COMPLETE	2022-01-04T00:00:00Z
OM126994.1	AY.103	USA: Minnesota	2021-12-16	Homo sapiens	29813	COMPLETE	2022-01-04T00:00:00Z
OM142056.1	AY.103	USA: Minnesota	2021-12-15	Homo sapiens	29801	COMPLETE	2022-01-05T00:00:00Z
OM155050.1	AY.103	USA: California	2021-12-21	Homo sapiens	29809	COMPLETE	2022-01-06T00:00:00Z
OM175021.1	AY.118	USA: Texas	2021-12-20	Homo sapiens	29767	COMPLETE	2022-01-07T00:00:00Z
OM190825.1	BA.1.20	USA	2021-12-22	Homo sapiens	29752	COMPLETE	2022-01-10T00:00:00Z
OM202352.1	BA.1.15	USA: Florida	2021-12-18	Homo sapiens	29752	COMPLETE	2022-01-10T00:00:00Z
OM226124.1	BA.1.1	USA: Florida	2021-12-28	Homo sapiens	29717	COMPLETE	2022-01-11T00:00:00Z
OM241829.1	AY.25	USA	2021-12-28	Homo sapiens	29764	COMPLETE	2022-01-12T00:00:00Z
OM264517.1	B.1.2	USA: Moscow, Idaho	2020-09-30	Homo sapiens	29779	COMPLETE	2022-01-13T00:00:00Z
OM274878.1	AY.44	USA: Maine	2021-12-14	Homo sapiens	29769	COMPLETE	2022-01-14T00:00:00Z
OM299276.1	BA.1.1	USA: Florida	2021-12-30	Homo sapiens	29788	COMPLETE	2022-01-18T00:00:00Z
OM308895.1	BA.1	USA: Georgia	2021-12-28	Homo sapiens	29793	COMPLETE	2022-01-19T00:00:00Z
OM326802.1	BA.1.1	USA	2022-01-07	Homo sapiens	29793	COMPLETE	2022-01-20T00:00:00Z
OM338588.1	BA.1.1.16	USA: VI	2021-12-29	Homo sapiens	29789	COMPLETE	2022-01-21T00:00:00Z
OM354425.1	BA.1.1	USA: Mississippi	2022-01-04	Homo sapiens	29873	COMPLETE	2022-01-24T00:00:00Z
OM361024.1	BA.1.1	USA: South Carolina	2022-01-05	Homo sapiens	29595	COMPLETE	2022-01-24T00:00:00Z
OM392369.1	BA.1.15	USA: California	2022-01-13	Homo sapiens	29873	COMPLETE	2022-01-26T00:00:00Z
OM407892.1	BA.1.1	USA: Arizona	2022-01-04	Homo sapiens	29717	COMPLETE	2022-01-27T00:00:00Z
OM413326.1	BA.1.1	USA: Massachusetts	2022-01-13	Homo sapiens	29778	COMPLETE	2022-01-27T00:00:00Z
OM443630.1	BA.1	USA: California	2022-01-17	Homo sapiens	29795	COMPLETE	2022-01-31T00:00:00Z
OM455746.1	BA.1.1	USA: California	2022-01-09	Homo sapiens	29752	COMPLETE	2022-01-31T00:00:00Z
OV313959.1	AY.4	United Kingdom:England	2021-11-28	Homo sapiens	29890	COMPLETE	2022-01-03T00:00:00Z
OV446831.1	AY.127	Slovakia	2021-12-03	Homo sapiens	29890	COMPLETE	2022-01-13T00:00:00Z
PP911258.1	AY.100	USA	2021-09-21	Homo sapiens	29701	COMPLETE	2024-06-13T00:00:00Z
PP414519.1	JN.1	USA: Ohio	2024-02-13	Homo sapiens	29690	COMPLETE	2024-03-01T00:00:00Z
PP485484.1	JN.1	USA	2024-01-05	Homo sapiens	29694	COMPLETE	2024-03-14T00:00:00Z
MZ686061.1	B.1.1.7	USA	2021-06-10	Homo sapiens	29809	COMPLETE	2021-08-03T00:00:00Z
MZ779249.1	B.1.1.7	USA: GA	2021-03-09	Homo sapiens	29853	COMPLETE	2021-08-13T00:00:00Z
MZ909481.1	B.1.429	USA: Arizona, Maricopa Co.	2021-01-14	Homo sapiens	29874	COMPLETE	2021-08-25T00:00:00Z
OU488213.1	AY.4	United Kingdom:England	2021-07-19	Homo sapiens	29896	COMPLETE	2021-08-10T00:00:00Z
OU532812.1	B.1.1.277	United Kingdom:England	2021-07-01	Homo sapiens	29903	COMPLETE	2021-08-16T00:00:00Z
OP754195.1	BA.5.2	USA: Maryland	2022-10-17	Homo sapiens	29624	COMPLETE	2022-11-02T00:00:00Z
OP771715.1	BA.5.6	USA: Tennessee	2022-10-09	Homo sapiens	29712	COMPLETE	2022-11-03T00:00:00Z
OP781219.1	BQ.1.12	USA: Illinois	2022-10-20	Homo sapiens	29718	COMPLETE	2022-11-04T00:00:00Z
OP808775.1	BA.5.2.9	USA: Kansas	2022-10-27	Homo sapiens	29657	COMPLETE	2022-11-11T00:00:00Z
OP821709.1	BA.5.8	USA: New Hampshire	2022-07-13	Homo sapiens	29743	COMPLETE	2022-11-14T00:00:00Z
OP855987.1	BE.1.1.1	USA	2022-09-25	Homo sapiens	29743	COMPLETE	2022-11-18T00:00:00Z
OP868178.1	BA.5.1.12	USA: Washington	2022-10-09	Homo sapiens	29687	COMPLETE	2022-11-21T00:00:00Z
OP889387.1	BQ.1.23	Bahrain	2022-11-01	Homo sapiens	29715	COMPLETE	2022-11-24T00:00:00Z
OP916047.1	BQ.1	USA: New Jersey	2022-11-08	Homo sapiens	29718	COMPLETE	2022-11-29T00:00:00Z
OZ388119.1	XFG.37	United Kingdom:Northern_Ireland	2025-12-01	Homo sapiens	29847	COMPLETE	2025-12-25T00:00:00Z
ON654532.1	BA.2.12.1	USA: Florida	2022-05-19	Homo sapiens	29848	COMPLETE	2022-06-02T00:00:00Z
ON660116.1	BA.2.12.1	USA: North Carolina	2022-05-22	Homo sapiens	29727	COMPLETE	2022-06-02T00:00:00Z
ON679168.1	BA.2.12.1	USA: Florida	2022-05-16	Homo sapiens	29724	COMPLETE	2022-06-06T00:00:00Z
ON694154.1	BA.2.12.1	USA: FL	2022-05-22	Homo sapiens	29770	COMPLETE	2022-06-07T00:00:00Z
ON701667.1	BA.2.12.1	USA: Wisconsin	2022-05-12	Homo sapiens	29598	COMPLETE	2022-06-07T00:00:00Z
ON714316.1	BA.2.12.1	USA: Washington	2022-05-31	Homo sapiens	29462	COMPLETE	2022-06-08T00:00:00Z
ON726332.1	BA.2.12.1	USA: Florida	2022-05-21	Homo sapiens	29727	COMPLETE	2022-06-10T00:00:00Z
ON732670.1	BA.2.12.1	USA: California	2022-05-24	Homo sapiens	29724	COMPLETE	2022-06-10T00:00:00Z
ON743526.1	BA.2	USA: Virginia	2022-05-30	Homo sapiens	29727	COMPLETE	2022-06-13T00:00:00Z
ON764483.1	AY.57	Viet Nam	2022-01-12	Homo sapiens	29808	COMPLETE	2022-06-15T00:00:00Z
ON770909.1	BA.2.12.1	USA: Connecticut	2022-05-31	Homo sapiens	29631	COMPLETE	2022-06-15T00:00:00Z
ON783585.1	BA.2.12.1	USA: North America, Oregon,Clackamas County	2022-06-07	Homo sapiens	29744	COMPLETE	2022-06-16T00:00:00Z
ON800317.1	BA.2.1	USA	2022-05-27	Homo sapiens	29713	COMPLETE	2022-06-21T00:00:00Z
ON823488.1	BA.2.12.1	USA: California	2022-06-01	Homo sapiens	29631	COMPLETE	2022-06-23T00:00:00Z
ON828979.1	BA.2.3	USA: Texas	2022-06-02	Homo sapiens	29724	COMPLETE	2022-06-23T00:00:00Z
ON838030.1	BA.5.6	USA: Arizona	2022-06-13	Homo sapiens	29720	COMPLETE	2022-06-24T00:00:00Z
ON852697.1	BE.2	USA: Texas	2022-06-11	Homo sapiens	29844	COMPLETE	2022-06-27T00:00:00Z
ON874226.1	BA.2.12.1	USA: New Jersey	2022-06-08	Homo sapiens	29724	COMPLETE	2022-06-29T00:00:00Z
ON885708.1	AY.100	USA: AR	2021-09-29	Homo sapiens	29701	COMPLETE	2022-06-30T00:00:00Z
OX071726.1	BA.1	United Kingdom:England	2022-01-25	Homo sapiens	29873	COMPLETE	2022-06-15T00:00:00Z
OX075315.1	BA.2	United Kingdom:Scotland	2022-03-15	Homo sapiens	29850	COMPLETE	2022-06-15T00:00:00Z
OX080139.1	BA.1	United Kingdom:England	2022-01-30	Homo sapiens	29873	COMPLETE	2022-06-15T00:00:00Z
OX084050.1	BA.1.1	United Kingdom:England	2022-04-07	Homo sapiens	29876	COMPLETE	2022-06-15T00:00:00Z
OX088764.1	BA.2	United Kingdom:England	2022-04-07	Homo sapiens	29844	COMPLETE	2022-06-15T00:00:00Z
OZ294120.1	AY.9.2	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-07-14		29896	COMPLETE	2025-08-01T00:00:00Z
OZ299471.1	AY.112	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-11-08		29890	COMPLETE	2025-08-08T00:00:00Z
OZ303923.1	AY.122	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-12-27		29890	COMPLETE	2025-08-10T00:00:00Z
PX121322.1	BA.5.1	USA: Wisconsin, MARATHON County	2022-09-16	Homo sapiens	29703	COMPLETE	2025-08-13T00:00:00Z
OL417009.1	B.1.617.2	USA: FL	2021-08-04	Homo sapiens	29827	COMPLETE	2021-11-09T00:00:00Z
OL601960.1	B.1.525	Mali: Bamako	2021-07-31	Homo sapiens	29708	COMPLETE	2021-11-22T00:00:00Z
OV004031.1	unclassifiable	United Kingdom:England	2021-10-15	Homo sapiens	29901	COMPLETE	2021-11-21T00:00:00Z
OV037756.1	AY.122	Slovakia	2021-10-08	Homo sapiens	29890	COMPLETE	2021-11-23T00:00:00Z
OV088935.1	AY.4	United Kingdom:England	2021-11-07	Homo sapiens	29887	COMPLETE	2021-11-26T00:00:00Z
OM088406.1	BA.1.1	USA: California	2021-12-22	Homo sapiens	29795	COMPLETE	2022-01-01T00:00:00Z
OM096488.1	AY.3	USA: California	2021-12-17	Homo sapiens	29810	COMPLETE	2022-01-03T00:00:00Z
OM109465.1	B.1.234	USA	2021-03-22	Homo sapiens	29876	COMPLETE	2022-01-04T00:00:00Z
OM123958.1	AY.25.1	USA: Wisconsin	2021-12-02	Homo sapiens	29787	COMPLETE	2022-01-04T00:00:00Z
OM136924.1	AY.34.1.1	USA	2021-12-27	Homo sapiens	29867	COMPLETE	2022-01-05T00:00:00Z
OM150370.1	AY.3	USA: Pennsylvania	2021-12-07	Homo sapiens	29787	COMPLETE	2022-01-06T00:00:00Z
OM161771.1	BA.1.1	USA: Nevada	2021-12-18	Homo sapiens	29752	COMPLETE	2022-01-06T00:00:00Z
OM175926.1	BA.1.17	USA: Florida	2021-12-22	Homo sapiens	29690	COMPLETE	2022-01-07T00:00:00Z
OM189184.1	AY.44	USA: Colorado	2021-12-15	Homo sapiens	29787	COMPLETE	2022-01-09T00:00:00Z
OM197634.1	BA.1.1	USA: Tennessee	2021-12-26	Homo sapiens	29794	COMPLETE	2022-01-10T00:00:00Z
OM224005.1	BA.1.17	USA: Wisconsin	2021-12-21	Homo sapiens	29565	COMPLETE	2022-01-11T00:00:00Z
OM230361.1	BA.1.1	USA: Colorado	2021-12-23	Homo sapiens	29795	COMPLETE	2022-01-12T00:00:00Z
OM246436.1	AY.103	USA	2021-11-23	Homo sapiens	29814	COMPLETE	2022-01-12T00:00:00Z
OM269856.1	AY.3	USA: Colorado	2021-12-16	Homo sapiens	29731	COMPLETE	2022-01-14T00:00:00Z
OM284743.1	BA.1.1	USA	2021-12-27	Homo sapiens	29752	COMPLETE	2022-01-18T00:00:00Z
OM300373.1	BA.1.1	USA: California	2022-01-03	Homo sapiens	29786	COMPLETE	2022-01-18T00:00:00Z
OM315512.1	B.1.2	USA: Ada, ID	2020-07-01	Homo sapiens	29822	COMPLETE	2022-01-19T00:00:00Z
OM336271.1	BA.1.20	USA: Minnesota	2021-12-27	Homo sapiens	29752	COMPLETE	2022-01-21T00:00:00Z
OM352287.1	BA.1.1.18	USA	2022-01-07	Homo sapiens	29752	COMPLETE	2022-01-24T00:00:00Z
OM355617.1	AY.44	USA: Arizona	2021-12-21	Homo sapiens	29767	COMPLETE	2022-01-24T00:00:00Z
OM364346.1	BA.1.1	USA: Pennsylvania	2021-12-30	Homo sapiens	29793	COMPLETE	2022-01-24T00:00:00Z
OM394709.1	BA.1	USA: California	2022-01-17	Homo sapiens	29795	COMPLETE	2022-01-26T00:00:00Z
OM406436.1	BA.1.1	USA: California	2022-01-11	Homo sapiens	29830	COMPLETE	2022-01-27T00:00:00Z
OM412594.1	BA.1.1	USA: New Jersey	2022-01-12	Homo sapiens	29621	COMPLETE	2022-01-27T00:00:00Z
OM443099.1	BA.1.15	USA: Texas	2022-01-13	Homo sapiens	29783	COMPLETE	2022-01-31T00:00:00Z
OM456088.1	BA.1.15	USA: Oklahoma	2022-01-14	Homo sapiens	29752	COMPLETE	2022-01-31T00:00:00Z
OV316636.1	AY.4	United Kingdom:England	2021-11-23	Homo sapiens	29890	COMPLETE	2022-01-03T00:00:00Z
BS003793.1	BA.1.1.2	Japan:Shizuoka, east	2022-02-26	Homo sapiens	29793	COMPLETE	2022-03-29T00:00:00Z
OM874476.1	BA.1	USA: New Jersey	2022-02-19	Homo sapiens	29711	COMPLETE	2022-03-01T00:00:00Z
OM888832.1	BA.1.1.18	USA: Colorado	2022-02-13	Homo sapiens	29794	COMPLETE	2022-03-02T00:00:00Z
OM900589.2	BA.1.15	USA: California	2022-02-16	Homo sapiens	29873	COMPLETE	2022-03-03T00:00:00Z
OM916645.1	BA.1.1	USA: Rhode Island	2022-01-31	Homo sapiens	29818	COMPLETE	2022-03-05T00:00:00Z
OM926247.1	BA.1.1	USA: Puerto Rico	2022-02-23	Homo sapiens	29799	COMPLETE	2022-03-07T00:00:00Z
OM941562.1	BA.1.1	USA: West Virginia	2022-02-21	Homo sapiens	29686	COMPLETE	2022-03-08T00:00:00Z
OM956984.1	BA.1	USA: Ohio	2022-02-09	Homo sapiens	29770	COMPLETE	2022-03-10T00:00:00Z
OM969682.1	BA.1.1	USA: California	2022-03-01	Homo sapiens	29802	COMPLETE	2022-03-11T00:00:00Z
OM996545.1	BA.1.15	USA: Colorado	2022-02-15	Homo sapiens	29770	COMPLETE	2022-03-16T00:00:00Z
ON011020.1	BA.1.1	USA	2022-01-14	Homo sapiens	29763	COMPLETE	2022-03-17T00:00:00Z
ON030073.1	BA.1.1	USA: West Virginia	2022-01-25	Homo sapiens	29786	COMPLETE	2022-03-21T00:00:00Z
ON039838.1	BA.1.15	USA	2021-12-26	Homo sapiens	29775	COMPLETE	2022-03-22T00:00:00Z
ON056306.1	BA.1.1.18	USA: Pennsylvania	2022-03-08	Homo sapiens	29871	COMPLETE	2022-03-24T00:00:00Z
ON070654.1	BA.1.1	USA	2022-02-21	Homo sapiens	29786	COMPLETE	2022-03-25T00:00:00Z
ON080406.1	BA.2	USA: Rhode Island	2022-03-16	Homo sapiens	29771	COMPLETE	2022-03-28T00:00:00Z
ON091867.1	BA.2	USA: Florida	2022-03-16	Homo sapiens	29694	COMPLETE	2022-03-29T00:00:00Z
ON115866.1	BA.1.15	USA: Maryland	2022-03-16	Homo sapiens	29792	COMPLETE	2022-03-31T00:00:00Z
OW093168.1	BA.1.1.14	United Kingdom:England	2021-12-26	Homo sapiens	29873	COMPLETE	2022-03-09T00:00:00Z
OW099335.2	BA.1.15.1	United Kingdom:England	2021-12-15	Homo sapiens	29873	COMPLETE	2022-03-09T00:00:00Z
OW104438.1	BA.1.16	United Kingdom:England	2020	Homo sapiens	29873	COMPLETE	2022-03-09T00:00:00Z
OW109540.1	BA.1.15	United Kingdom:England	2021-12-19	Homo sapiens	29873	COMPLETE	2022-03-09T00:00:00Z
OW140448.1	BA.2	Slovakia	2022-02-21	Homo sapiens	29850	COMPLETE	2022-03-15T00:00:00Z
OQ369535.1	BQ.1	USA: Hawaii	2023-01-15	Homo sapiens	29715	COMPLETE	2023-02-02T00:00:00Z
OQ400270.1	BQ.1	USA: New York	2023-01-23	Homo sapiens	29718	COMPLETE	2023-02-07T00:00:00Z
OQ450104.1	BQ.1.1.32	USA: California	2023-02-08	Homo sapiens	29718	COMPLETE	2023-02-17T00:00:00Z
OQ525097.1	BA.1	Brazil	2022-01-14	Homo sapiens	29799	COMPLETE	2023-02-27T00:00:00Z
OX429513.1	BA.5.1	United Kingdom:Scotland	2022-07-21	Homo sapiens	29846	COMPLETE	2023-02-18T00:00:00Z
OX434904.1	CH.1.1	United Kingdom:Scotland	2023-01-26	Homo sapiens	29856	COMPLETE	2023-02-21T00:00:00Z
OY744104.1	HN.4	United Kingdom:England	2023-09-25	Homo sapiens	29894	COMPLETE	2023-10-07T00:00:00Z
OY752025.1	EG.5.1.4	United Kingdom:Wales	2023-10-08	Homo sapiens	29847	COMPLETE	2023-10-27T00:00:00Z
OQ755976.1	AY.3	USA: Nebraska	2021-08-30	Homo sapiens	29769	COMPLETE	2023-04-06T00:00:00Z
OQ871021.1	HH.1	USA: Washington	2023-04-16	Homo sapiens	29685	COMPLETE	2023-04-26T00:00:00Z
OX466409.1	XBB.1.5.37	United Kingdom:Scotland	2023-04-01	Homo sapiens	29847	COMPLETE	2023-04-28T00:00:00Z
OX470448.1	B.1.177.54	United Kingdom:England	2020-12-18	Homo sapiens	29905	COMPLETE	2023-04-29T00:00:00Z
OX475384.1	AY.4	United Kingdom:England	2021-08-10	Homo sapiens	29890	COMPLETE	2023-04-29T00:00:00Z
OX479473.1	BF.7	United Kingdom:Northern_Ireland	2022-10-13	Homo sapiens	29844	COMPLETE	2023-04-29T00:00:00Z
OX485304.1	AY.5	United Kingdom:Northern_Ireland	2021-09-21	Homo sapiens	29890	COMPLETE	2023-04-29T00:00:00Z
OX489474.1	BA.1.17.2	United Kingdom:Northern_Ireland	2021-12-26	Homo sapiens	29873	COMPLETE	2023-04-30T00:00:00Z
OP111211.1	BA.5.5	USA: Pennsylvania	2022-07-08	Homo sapiens	29718	COMPLETE	2022-08-01T00:00:00Z
OP119367.1	BA.5.2	USA: Washington	2022-07-19	Homo sapiens	29625	COMPLETE	2022-08-02T00:00:00Z
OP137727.1	BA.5.1.1	USA: California	2022-07-15	Homo sapiens	29715	COMPLETE	2022-08-03T00:00:00Z
OP140896.1	BA.5.6	USA: California	2022-07-12	Homo sapiens	29718	COMPLETE	2022-08-03T00:00:00Z
OP149101.1	BF.16	USA: Georgia	2022-07-25	Homo sapiens	29844	COMPLETE	2022-08-04T00:00:00Z
OP162450.1	BA.2.12.1	USA: Minnesota	2022-07-24	Homo sapiens	29724	COMPLETE	2022-08-05T00:00:00Z
OP176832.1	BA.4.6	USA: New Jersey	2022-07-26	Homo sapiens	29679	COMPLETE	2022-08-09T00:00:00Z
OP192755.1	BA.5.2.1	USA: California	2022-07-25	Homo sapiens	29718	COMPLETE	2022-08-10T00:00:00Z
OP201531.1	BA.5.2.1	USA: Maine	2022-07-27	Homo sapiens	29687	COMPLETE	2022-08-11T00:00:00Z
OP217208.1	BA.5.1	USA: Illinois	2022-07-24	Homo sapiens	29717	COMPLETE	2022-08-13T00:00:00Z
OP228931.1	BA.5.6	USA: Illinois	2022-07-31	Homo sapiens	29718	COMPLETE	2022-08-16T00:00:00Z
OP239965.1	BA.2.18	USA: California	2022-08-02	Homo sapiens	29693	COMPLETE	2022-08-17T00:00:00Z
OP257628.1	BA.5.1.10	USA: Ohio	2022-07-30	Homo sapiens	29718	COMPLETE	2022-08-19T00:00:00Z
OP261063.1	BA.5.1.22	USA: California	2022-08-04	Homo sapiens	29842	COMPLETE	2022-08-19T00:00:00Z
OP283569.1	BA.5.2	USA: New York	2022-08-08	Homo sapiens	29720	COMPLETE	2022-08-23T00:00:00Z
OP303554.1	BA.2.12.1	USA: Texas	2022-08-06	Homo sapiens	29848	COMPLETE	2022-08-26T00:00:00Z
OP318186.1	BA.5.5	USA: Texas	2022-08-08	Homo sapiens	29834	COMPLETE	2022-08-29T00:00:00Z
OP332381.1	BA.5.2	USA: California	2022-08-14	Homo sapiens	29625	COMPLETE	2022-08-30T00:00:00Z
OP337734.1	BF.8	USA: California	2022-08-13	Homo sapiens	29718	COMPLETE	2022-08-30T00:00:00Z
OX278076.1	BA.5.1	Slovakia	2022-07-13	Homo sapiens	29844	COMPLETE	2022-08-20T00:00:00Z
OX301926.1	AY.9.2	Iceland	2021-11-01	Homo sapiens	29903	COMPLETE	2022-08-28T00:00:00Z
OX306064.1	AY.25	Iceland	2022-01-14	Homo sapiens	29897	COMPLETE	2022-08-29T00:00:00Z
BS008412.1	BA.1.1.2	Japan:Shiga	2022-02-14	Homo sapiens	29582	COMPLETE	2024-04-10T00:00:00Z
PP601439.1	B.1.409	USA	2020-11-02	Homo sapiens	29782	COMPLETE	2024-04-09T00:00:00Z
PP608152.1	B.1.2	USA	2021-03-17	Homo sapiens	29778	COMPLETE	2024-04-09T00:00:00Z
PP628580.1	AY.122	USA: Washington, Yakima County	2021-09-17	Homo sapiens	29769	COMPLETE	2024-04-11T00:00:00Z
ON193092.1	AY.5	USA	2021-07-29	Homo sapiens	29739	COMPLETE	2022-12-30T00:00:00Z
OP929204.1	AY.103	USA	2021-12-14	Homo sapiens	29845	COMPLETE	2022-12-01T00:00:00Z
OP945481.1	BQ.1	USA: Minnesota	2022-11-17	Homo sapiens	29715	COMPLETE	2022-12-05T00:00:00Z
OP988390.1	BQ.1.14	USA: Pennsylvania	2022-11-25	Homo sapiens	29839	COMPLETE	2022-12-12T00:00:00Z
OP996395.1	BF.7	USA: Nevada	2022-11-25	Homo sapiens	29718	COMPLETE	2022-12-12T00:00:00Z
OQ049156.1	BQ.1.1.22	USA: Indiana	2022-11-29	Homo sapiens	29718	COMPLETE	2022-12-15T00:00:00Z
OQ072806.1	BF.7.4	USA: Michigan	2022-12-05	Homo sapiens	29657	COMPLETE	2022-12-17T00:00:00Z
